Tasks,Assigned To,Duration,Start Date,End Date,Predecessors,Health,Status,Notes,% Complete
Prime Day Shipment Cutoff,,1d,09/18/26,09/18/26,,,,,
BFCM Shipment Cutoff,,1d,11/05/26,11/05/26,,,,,
Regulatory / NPN,,25d,07/10/26,08/13/26,,,,,
NPN license compilation (4 launch SKUs),Allison,11d,07/10/26,07/24/26,,Green,Complete,,
Send current packaging files to Allison,Alicia,1d,07/27/26,07/27/26,4,,,,
Submit English label text to Gowling,Allison,1d,07/28/26,07/28/26,5,,,,
French translations returned from Gowling,Mary Catherine,3d,07/29/26,07/31/26,6,,,,
Gowling NPN placement confirmation,JP Powers,9d,07/27/26,08/06/26,4,,,,
HC documentation package for Amazon,Allison,5d,08/07/26,08/13/26,"7, 8",,,,
Bilingual Packaging & Design,,30d,08/07/26,09/18/26,,,,,
Allison delivers complete ClickUp brief to creative,,1d,08/07/26,08/07/26,"7, 8",,,,
Creative kickoff with Michelle,,1d,08/10/26,08/10/26,11,,,,
Bilingual artwork design (4 SKUs),,15d,08/11/26,08/31/26,12,,,,
Artwork submitted to Allison for Gowling review,,1d,09/01/26,09/01/26,13,,,,
Gowling artwork review + revisions,,10d,09/02/26,09/16/26,14,,,,
Artwork approved by Gowling,,1d,09/17/26,09/17/26,15,,,,
Files sent to printer,,1d,09/18/26,09/18/26,"16, 36",,,,
Quality/Testing,,45d,07/17/26,09/18/26,,,,,
Assess all 4 launch SKUs vs. 90–120% spec,Shilpa,1d,07/17/26,07/17/26,,Green,Complete,,
Aliquot single lot for Amazon Canada,Shilpa / Justin,5d,08/21/26,08/27/26,36,,,,
Per-lot CoA completed for each launch SKU,Shilpa,10d,08/28/26,09/11/26,20,,,,
CoAs compiled and sent to Amazon,Allison / Shilpa,5d,09/14/26,09/18/26,21,,,,
Account / Platform,,56d,07/24/26,10/13/26,,,,,
Entity address update completed,Arlene / Brock,6d,07/24/26,07/31/26,,,,,
Bank information verification resolved,Arlene,11d,07/24/26,08/07/26,,,,,
Seller account reactivated,Arlene / Kat,1d,08/10/26,08/10/26,"24, 25",,,,
Confirm  ASINs,Arlene / Brock,6d,08/11/26,08/18/26,26,,,,
Transparency Program / UPC=ASIN confirmation,Arlene,11d,07/31/26,08/14/26,,,,,
Canada bilingual image uploads,Brock,6d,09/18/26,09/25/26,16,,,,
Listing content review with Kat,Brock/Kat,11d,09/28/26,10/13/26,29,,,,
Listings live and verified,Brock,1d,09/18/26,09/18/26,"16, 26",,,,
Supply Chain / Ops,,111d,07/27/26,01/06/27,,,,,
Determine quantity required for Canada launch,Amrata/Arlene,5d,07/27/26,07/31/26,,,,,
S&OP update for Canada launch SKUs,Amrata/Arlene,3d,08/03/26,08/05/26,33,,,,
MOQ confirmation with INW,Kim,6d,08/06/26,08/13/26,34,,,,
Place PO for bilingual cartons,Kate / Justin,5d,08/14/26,08/20/26,35,,,,
Repack sequencing plan (vs. Walmart / Target),Kate,11d,08/01/26,08/14/26,,,,,
PO + Print run,Kate,60d,09/21/26,12/17/26,"17, 36",Red,,,
Printed cartons received / kitting begins,Kate,1d,12/18/26,12/18/26,38,Red,,,
Kitting / boxing,Justin/Roger,10d,12/21/26,01/05/27,39,,,,
Inventory ready for shipment,Kate,1d,01/06/27,01/06/27,40,,,,
Fulfillment / Logistics,,114d,07/30/26,01/14/27,,,,,
Logistics call with Sara,Siddhi / Arlene / Justin / Kate,1d,07/30/26,07/30/26,,,,,
Evaluate Forceget + Frisbi (3PL options),Justin / Kate,5d,07/31/26,08/06/26,43,,,,
Contract Canada 3PL / return facility,Justin,5d,08/07/26,08/13/26,44,,,,
Confirm customs broker (direct-to-FC capable),Justin,10d,07/31/26,08/13/26,43,,,,
Fulfillment route decision finalized,Justin / Kate,1d,08/14/26,08/14/26,"45, 46",,,,
Shipment preparation,Kate / 3PL,5d,01/07/27,01/13/27,41,,,,
Inventory received at Amazon Canada FC,Kate,1d,01/14/27,01/14/27,48,,,,
Launch!,,3d,01/15/27,01/20/27,,,,,
Amazon.ca listings go live,Brock / Arlene,1d,01/15/27,01/15/27,"31, 49",,,,
Canada ad campaigns activated,Brock,1d,01/19/27,01/19/27,51,,,,
🍁 Amazon Canada launch,All,1d,01/20/27,01/20/27,"51, 52",,,,
